first,last,team,year,games_played,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,pfgm,pfg3m,pftm
Julius,Erving,PHI,1980,82.0,35:02:00,9.68,18.59,0.05,0.22,5.15,6.54,2.28,5.83,8.01,4.44,2.62,1.73,3.4,2.84,24.56,0.5207100591715976,0.2272727272727273,0.7874617737003059
Eddie,Johnson,ATL,1980,75.0,35:55:00,7.64,15.16,0.08,0.32,3.72,4.75,0.68,0.95,2.39,5.47,1.54,0.11,2.7,2.53,19.08,0.503957783641161,0.25,0.7831578947368422
Artis,Gilmore,CHI,1980,81.0,34:31:00,6.67,9.93,0.0,0.0,4.56,6.46,3.42,6.84,10.06,2.15,0.77,2.43,3.31,3.58,17.89,0.6717019133937563,0.0,0.7058823529411764
Reggie,Theus,CHI,1980,81.0,34:20:00,6.58,13.38,0.22,1.09,5.46,6.75,1.5,1.73,3.56,5.41,1.73,0.28,3.65,3.14,18.84,0.491778774289985,0.20183486238532108,0.8088888888888889
Larry,Bird,BOS,1980,82.0,39:30:00,8.77,18.33,0.24,0.92,3.45,4.0,2.71,10.53,10.91,5.5,2.61,0.84,3.69,2.91,21.23,0.4784506273867976,0.2608695652173913,0.8625
Robert,Parish,BOS,1980,82.0,28:01:00,7.74,14.22,0.0,0.01,3.44,4.84,3.86,7.43,9.48,1.77,1.1,3.0,2.41,3.78,18.93,0.5443037974683544,0.0,0.7107438016528925
Nate,Archibald,BOS,1980,80.0,35:15:00,4.78,9.58,0.0,0.09,4.28,5.24,0.11,1.28,2.2,7.73,1.24,0.22,3.61,2.5,13.83,0.4989561586638831,0.0,0.816793893129771
Micheal,Ray Richardson,NYK,1980,78.0,40:06:00,6.59,14.13,0.29,1.39,2.83,4.26,2.21,3.86,6.9,7.99,3.66,0.42,3.67,3.27,16.31,0.46638358103326255,0.20863309352517986,0.6643192488262911
Marques,Johnson,MIL,1980,76.0,33:26:00,8.37,15.17,0.0,0.13,3.54,5.04,2.32,3.58,6.79,4.54,1.5,0.55,2.59,2.58,20.28,0.5517468688200395,0.0,0.7023809523809523
Bobby,Jones,PHI,1980,81.0,25:15:00,5.02,9.32,0.0,0.04,3.48,4.28,1.83,2.94,5.37,2.79,1.39,0.99,1.76,2.75,13.53,0.53862660944206,0.0,0.8130841121495327
Mike,Mitchell,CLE,1980,82.0,38:57:00,10.4,21.84,0.05,0.11,3.68,4.7,2.59,3.53,6.12,1.7,0.75,0.63,2.27,2.43,24.54,0.4761904761904762,0.4545454545454546,0.7829787234042553
Paul,Westphal,SEA,1980,36.0,29:56:00,6.14,13.89,0.17,0.69,4.25,5.11,0.31,1.58,1.89,4.11,1.11,0.46,2.17,1.94,16.69,0.44204463642908565,0.24637681159420294,0.831702544031311
George,Gervin,SAS,1980,82.0,33:43:00,10.37,21.11,0.11,0.44,6.24,7.56,1.39,3.33,5.11,3.17,1.15,0.63,3.38,2.59,27.09,0.4912363808621506,0.25,0.8253968253968255
Kareem,Abdul-Jabbar,LAL,1980,80.0,37:12:00,10.45,18.21,0.0,0.01,5.29,6.9,2.51,7.76,10.26,3.4,0.75,2.87,3.08,3.05,26.19,0.5738605161998901,0.0,0.7666666666666666
Walter,Davis,PHO,1980,78.0,27:58:00,7.6,14.12,0.09,0.22,2.68,3.21,0.79,1.72,2.56,3.87,1.26,0.15,2.85,2.46,17.97,0.5382436260623229,0.40909090909090906,0.8348909657320873
Adrian,Dantley,UTA,1980,77.0,42:35:00,11.29,20.13,0.03,0.06,7.86,9.79,2.33,3.19,6.22,4.05,1.47,0.22,3.54,3.07,30.45,0.5608544461003477,0.5,0.8028600612870277
Jamaal,Wilkes,LAL,1980,81.0,37:22:00,9.7,18.46,0.01,0.16,3.14,4.14,1.79,3.6,5.37,2.9,1.5,0.35,2.61,2.75,22.56,0.5254604550379197,0.0625,0.7584541062801933
Dennis,Johnson,PHO,1980,79.0,33:06:00,6.73,15.44,0.14,0.65,5.2,6.34,2.04,2.52,4.59,3.68,1.72,0.76,2.63,3.09,18.81,0.4358808290155441,0.2153846153846154,0.8201892744479495
